contractAddress,guardName,guardAddress,description
0xba12222222228d8ba445958a75a0704d566bf2c8,BalancerV2Guard,0x116157DF6afDFD191cdcb026378F87D2b66E4383,Balancer V2 Guard
0x1111111254EEB25477B68fb85Ed929f73A960582,OneInchV5Guard,0xc0B92A955C336Bdc85cA60F0DaA9bF5EDB13fb42,OneInch V5 Router
0x80b9411977C4fF8D618f2aC3f29F1e2D623C4d34,EasySwapperGuard,0x60b8a1972f0f43809fEA643cFd4Dce86528a0b59,Dhedge EasySwapper - allows access to toros pools
0x69c527fc77291722b52649e45c838e41be8bf5d5,GmxExchangeRouterContractGuard,0xaAC1737A9D999682da4417eE33C9067a6C47B1C9,Gmx Exchange Router Guard
0xdef1c0ded9bec7f1a1670819833240f027b25eff,ZeroExContractGuard,0xCEAB4dE8141CCA8c8eBEd72Ba46872f541c69064,ZeroEx Exchange Proxy
0xa65538A6B9A8442854dEcB6E3F85782C60757D60,SynthetixV3SpotMarketContractGuard,0x5b85b46d98cec87Cac9890FC755Bad065c4b717a,Synthetix V3 Spot Market
0xffffffaEff0B96Ea8e4f94b2253f31abdD875847,SynthetixV3ContractGuard,0xb1aeaecc3b5a0a0034dd16172c821152af2bfa12,Synthetix V3 Core
0x251e51b25afa40f2b6b9f05aaf1bc7eaa0551771,BalancerV2GaugeContractGuard,0x72232EBf4D5D447AA39685b197d393004807b955,BalancerV2GaugeContractGuard
0x9232ee56ab3167e2d77e491fba82babf963ccace,BalancerV2GaugeContractGuard,0x72232EBf4D5D447AA39685b197d393004807b955,BalancerV2GaugeContractGuard
0x9765cDAeC6395B04737EdC22C5b3E7d85677328A,RamsesGaugeContractGuard,0x64608491f5A0082292867fC698254D25E0279286,RamsesGaugeContractGuard
0x900173a66dbd345006c51fa35fa3ab760fcd843b,GmxExchangeRouterContractGuard,0x473565b6eed10104c229FB8d40C1987a5435D934,Gmx Exchange Router Guard
0x87d66368cD08a7Ca42252f5ab44B2fb6d1Fb8d15,GmxExchangeRouterContractGuard,0xA8970ca2c55B4988532C4b18164a87C9dda80853,Gmx Exchange Router Guard
0xaaa87963efeb6f7e0a2711f397663105acb1805e,RamsesRouterContractGuard,0xA782433758D3C2520c60De9c0ba91Ab4b8318aA4,Ramses Router Guard
0xaaa1ee8dc1864ae49185c368e8c64dd780a50fb7,RamsesXRamContractGuard,0xf9839a9AeB0b882997E29D45c3D26766ED1EcCfD,Ramses XRam Guard
0xAA277CB7914b7e5514946Da92cb9De332Ce610EF,RamsesNonfungiblePositionGuard,0x618E6593733e819a63BE20f4fdEB61dA4b0500c7,RamsesCL Nonfungible Position contract
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,UniswapV3RouterGuard,0xC8FD438bb2C257e571A5FE966a278956F16282Cd,Uniswap V3 Router guard
